nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;158;"KEP. RIAU"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;12012;"DKI JAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;1060;"JAWA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;972;"JAWA TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;1074;"DI YOGYAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;781;"JAWA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;1006;BANTEN
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;625;BALI
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;211;"NUSA TENGGARA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;93;"NUSA TENGGARA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;34;"KALIMANTAN BARAT"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;13;"KALIMANTAN TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;85;"KALIMANTAN SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;15;"KALIMANTAN TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;-;"KALIMANTAN UTARA"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;154;"SULAWESI UTARA"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;34;"SULAWESI TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;162;"SULAWESI SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;53;"SULAWESI TENGGARA"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;77;GORONTALO
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;59;"SULAWESI BARAT"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;27;MALUKU
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;23;"MALUKU UTARA"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;6;"PAPUA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;6;PAPUA
"Kepadatan Penduduk";"Tidak Ada";2005;Tahun;118;INDONESIA
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;78;ACEH
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;172;"SUMATERA UTARA"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;108;"SUMATERA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;54;RIAU
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;50;JAMBI
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;74;"SUMATERA SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;79;BENGKULU
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;204;LAMPUNG
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;66;"KEP. BANGKA BELITUNG"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;15;"KEP. RIAU"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;13499;"DKI JAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;1146;"JAWA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;989;"JAWA TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;1064;"DI YOGYAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;764;"JAWA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;1066;BANTEN
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;609;BALI
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;211;"NUSA TENGGARA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;92;"NUSA TENGGARA TIMUR"
