district	density
Krishnagiri	370
Madurai	823
Nagappattinam	668
Namakkal	288
Perambalur	506
Pudukkottai	323
Ramanathapuram	348
Salem	320
Sivaganga	663
Thanjavur	324
The Nilgiris	476
Theni	602
Thiruvallur	433
Thiruvarur	458
Thoothukkudi	691
Tiruchirappalli	378
Tirunelveli	1049
Tiruppur	533
Tiruvannamalai	399
Vellore	646
Viluppuram	462
Virudunagar	454
Adilabad	170
Hyderabad	18172
Karimnagar	319
Khammam	175
Mahbubnagar	219
Medak	312
Nalgonda	245
Nizamabad	320
Ranga Reddy	706
Warangal	532
Dhalai	157
Gomati	287
Khowai	326
North Tripura	288
Sipahijala	463
South Tripura	283
Unokoti	469
West Tripura	973
Agra	1084
Aligarh	1007
Allahabad	1087
Ambedkar Nagar	1021
Amethi	0
Amroha	818
Auraiya	681
Azamgarh	1139
Baghpat	986
Bahraich	415
Ballia	1081
Balrampur	642
Banda	404
Barabanki	739
Bareilly	1084
Basti	916
Bijnor	808
Budaun	718
Bulandshahr	788
Chandauli	768
Chitrakoot	315
Deoria	1220
Etah	717
Etawah	683
Faizabad	1054
Farrukhabad	865
Fatehpur	634
Firozabad	1044
Gautam Buddha Nagar	1252
Ghaziabad	3967
Ghazipur	1072
Gonda	857
Gorakhpur	1336
Hamirpur	268
Hapur	0
Hardoi	683
Hathras	851
Jalaun	366
Jaunpur	1108
Jhansi	398
Kannauj	792
Kanpur Dehat	594
Kanpur Nagar	1415
Kasganj	736
Kaushambi	897
Kushinagar	1226
Lakhimpur Kheri	523
Lalitpur	242
Lucknow	1815
Maharajganj	903
Mahoba	288
Mainpuri	670
Mathura	761
Mau	1287
Meerut	1342
Mirzapur	561
Moradabad	1284
Muzaffarnagar	1033
Pilibhit	567
Pratapgarh	854
Rae Bareli	739
Rampur	987
Saharanpur	939
Sambhal	0
Sant Kabir Nagar	1014
Sant Ravi Das Nagar	1531
Shahjahanpur	673
Shamli	0
Shravasti	572
Siddharth Nagar	882
Sitapur	779
Sonbhadra	274
Sultanpur	855
Unnao	682
Varanasi	2399
Almora	198
Bageshwar	116
Chamoli	49
Champawat	147
Dehradun	550
Garhwal	817
Hardwar	225
Nainital	129
Pithoragarh	69
Rudraprayag	119
Tehri Garhwal	169
Udham Singh Nagar	648
Uttarkashi	41
Alipurduar	400
Bankura	523
Barddhaman	1100
Birbhum	890
Dakshin Dinajpur	771
Darjiling	753
Haora	585
Hugli	3300
Jalpaiguri	1753
Koch Bihar	621
Kolkata	24252
Maldah	1071
Murshidabad	1334
Nadia	1316
North 24 Parganas	2463
Pashchim Medinipur	1076
Purba Medinipur	923
Puruliya	468
South 24 Parganas	819
Uttar Dinajpur	956
