State	Code	District	Headquarters	Population	Area(km)	Density
Odisha	KN	Kandhamal	Phulbani	731952	6004	91
Odisha	KO	Koraput	Koraput	1376934	8534	156
Odisha	KP	Kendrapara	Kendrapara	1439891	2546	545
Odisha	ML	Malkangiri	Malkangiri	612727	6115	106
Odisha	MY	Mayurbhanj	Baripada	2513895	10418	241
Odisha	NB	Nabarangpur	Nabarangpur	1218762	5135	230
Odisha	NU	Nuapada	Nuapada	606490	3408	157
Odisha	NY	Nayagarh	Nayagarh	962215	3954	247
Odisha	PU	Puri	Puri	1697983	3055	488
Odisha	RA	Rayagada	Rayagada	961959	7585	136
Odisha	SA	Sambalpur	Sambalpur	1044410	6702	158
Odisha	SO	Subarnapur	Subarnapur	652107	2284	279
Odisha	SU	Sundargarh	Sundargarh	2080664	9942	214
Puducherry	KA	Karaikal	Karaikal	200314	160	1252
Puducherry	MA	Mahe	Mahé	41934	9	4659
Puducherry	PO	Pondicherry	Pondicherry	946600	293	3231
Puducherry	YA	Yanam	Yanam	55616	17	3272
Punjab	AM	Amritsar	Amritsar	2490891	2673	932
Punjab	BNL	Barnala	Barnala	596294	1423	419
Punjab	BA	Bathinda	Bathinda	1388859	3355	414
Punjab	FI	Firozpur	Firozpur	2026831	5334	380
Punjab	FR	Faridkot	Faridkot	618008	1472	424
Punjab	FT	Fatehgarh Sahib	Fatehgarh Sahib	599814	1180	508
Punjab	FA	Fazilka	Fazilka			
Punjab	GU	Gurdaspur	Gurdaspur	2299026	3542	649
Punjab	HO	Hoshiarpur	Hoshiarpur	1582793	3397	466
Punjab	JA	Jalandhar	Jalandhar	2181753	2625	831
Punjab	KA	Kapurthala	Kapurthala	817668	1646	501
Punjab	LU	Ludhiana	Ludhiana	3487882	3744	975
Punjab	MA	Mansa	Mansa	768808	2174	350
Punjab	MO	Moga	Moga	992289	2235	444
Punjab	MU	Sri Muktsar Sahib	Sri Muktsar Sahib	902702	2596	348
Punjab	PA	Pathankot	Pathankot	1998464		398
Punjab	PA	Patiala	Patiala	2892282	3175	596
Punjab	RU	Rupnagar	Rupnagar	683349	1400	488
Punjab	SAS	Sahibzada Ajit Singh Nagar	Mohali	986147	1188	830
Punjab	SA	Sangrur	Sangrur	1654408	3685	449
Punjab	PB	Shahid Bhagat Singh Nagar	Nawanshahr	614362	1283	479
Punjab	TT	Tarn Taran	Tarn Taran Sahib	1120070	2414	464
Rajasthan	AJ	Ajmer	Ajmer	2584913	8481	305
Rajasthan	AL	Alwar	Alwar	3671999	8380	438
Rajasthan	BI	Bikaner	Bikaner	2367745	27244	78
Rajasthan	BM	Barmer	Barmer	2604453	28387	92
Rajasthan	BN	Banswara	Banswara	1798194	5037	399
Rajasthan	BP	Bharatpur	Bharatpur	2549121	5066	503
Rajasthan	BR	Baran	Baran	1223921	6955	175
Rajasthan	BU	Bundi	Bundi	1113725	5550	193
Rajasthan	BW	Bhilwara	Bhilwara	2410459	10455	230
Rajasthan	CR	Churu	Churu	2041172	16830	148
Rajasthan	CT	Chittorgarh	Chittorgarh	1544392	10856	193
Rajasthan	DA	Dausa	Dausa	1637226	3429	476
Rajasthan	DH	Dholpur	Dholpur	1207293	3084	398
Rajasthan	DU	Dungarpur	Dungarpur	1388906	3771	368
Rajasthan	GA	Ganganagar	Ganganagar	1969520	10990	179
Rajasthan	HA	Hanumangarh	Hanumangarh	1779650	9670	184
Rajasthan	JJ	Jhunjhunu	Jhunjhunu	2139658	5928	361
Rajasthan	JL	Jalore	Jalore	1830151	10640	172
Rajasthan	JO	Jodhpur	Jodhpur	3685681	22850	161
Rajasthan	JP	Jaipur	Jaipur	6663971	11152	598
Rajasthan	JS	Jaisalmer	Jaisalmer	672008	38401	17
Rajasthan	JW	Jhalawar	Jhalawar	1411327	6219	227
Rajasthan	KA	Karauli	Karauli	1458459	5530	264
Rajasthan	KO	Kota	Kota	1950491	5446	374
Rajasthan	NA	Nagaur	Nagaur	3309234	17718	187
Rajasthan	PA	Pali	Pali	2038533	12387	165
Rajasthan	PG	Pratapgarh	Pratapgarh	868231	4112	211
Rajasthan	RA	Rajsamand	Rajsamand	1158283	3853	302
Rajasthan	SK	Sikar	Sikar	2677737	7732	346
Rajasthan	SM	Sawai Madhopur	Sawai Madhopur	1338114	4500	257
Rajasthan	SR	Sirohi	Sirohi	1037185	5136	202
Rajasthan	TO	Tonk	Tonk	1421711	7194	198
Rajasthan	UD	Udaipur	Udaipur	3067549	13430	242
Sikkim	ES	East Sikkim	Gangtok	281293	954	295
Sikkim	NS	North Sikkim	Mangan	43354	4226	10
Sikkim	SS	South Sikkim	Namchi	146742	750	196
Sikkim	WS	West Sikkim	Geyzing	136299	1166	117
Tamil Nadu	AY	Ariyalur	Ariyalur	752481	3208	387
Tamil Nadu	CH	Chennai	Chennai (Madras)	4681087	174	26903
Tamil Nadu	CO	Coimbatore	Coimbatore	3472578	7469	748
Tamil Nadu	CU	Cuddalore	Cuddalore	2600880	3999	702
Tamil Nadu	DH	Dharmapuri	Dharmapuri	1502900	4532	332
Tamil Nadu	DI	Dindigul	Dindigul	2161367	6058	357
Tamil Nadu	ER	Erode	Erode	2259608	5714	397
Tamil Nadu	KC	Kanchipuram	Kanchipuram	3990897	4433	927
Tamil Nadu	KK	Kanyakumari	Nagercoil	2863178	1685	1106
Tamil Nadu	KA	Karur	Karur	1076588	2901	371
Tamil Nadu	KR	Krishnagiri	Krishnagiri	1883731	5086	370
Tamil Nadu	MA	Madurai	Madurai	3991038	3676	823
Tamil Nadu	NG	Nagapattinam	Nagapattinam	1614069	2716	668
Tamil Nadu	NI	Nilgiris	Udagamandalam (Ootacamund/Ooty)	735071	2549	288
Tamil Nadu	NM	Namakkal	Namakkal	1721179	3429	506
Tamil Nadu	PE	Perambalur	Perambalur	564511	1752	323
Tamil Nadu	PU	Pudukkottai	Pudukkottai	1918725	4651	348
Tamil Nadu	RA	Ramanathapuram	Ramanathapuram	1337560	4123	320
Tamil Nadu	SA	Salem	Salem	3480008	5245	663
Tamil Nadu	SI	Sivaganga	Sivaganga	1341250	4086	324
Tamil Nadu	TP	Tirupur	Tirupur	2471222	5106	476
Tamil Nadu	TC	Tiruchirappalli	Tiruchirappalli	2713858	4407	602
Tamil Nadu	TH	Theni	Theni	1243684	3066	433
Tamil Nadu	TI	Tirunelveli	Tirunelveli	3072880	6703	458
Tamil Nadu	TJ	Thanjavur	Thanjavur	2402781	3397	691
Tamil Nadu	TK	Thoothukudi	Thoothukudi(Tuticorin)	1738376	4594	378
Tamil Nadu	TL	Tiruvallur	Tiruvallur	3725697	3424	1049
Tamil Nadu	TR	Tiruvarur	Tiruvarur	1268094	2377	533
Tamil Nadu	TV	Tiruvannamalai	Tiruvannaamalai	2468965	6191	399
Tamil Nadu	VE	Vellore	Vellore	3928106	6077	646
Tamil Nadu	VL	Viluppuram	Viluppuram	3463284	7190	462
Tamil Nadu	VR	Virudhunagar	Virudhunagar	1943309	3446	454
Telangana	AD	Adilabad	Adilabad	708952	4185.97	171
Telangana		Komaram Bheem Asifabad	Asifabad	515835	4300.16	106
Telangana		Bhadradri Kothagudem	Kothagudem	1304811	8951.00	143
Telangana	HY	Hyderabad	Hyderabad	3441992	4325.29	18172
Telangana		Jagtial	Jagtial	983414	3043.23	407
Telangana		Jangaon	Jangaon	582457	2187.50	259
Telangana		Jayashankar Bhupalpally	Bhupalpalle	712257	6361.70	115
Telangana		Jogulamba Gadwal	Gadwal	664971	2928.00	208
Telangana		Kamareddy	Kamareddy	972625	3651.00	266
Telangana	KA	Karimnagar	Karimnagar	1016063	2379.07	473
Telangana	KH	Khammam	Khammam	1401639	4453.00	321
Telangana		Mahabubabad	Mahabubabad	770170	2876.70	269
Telangana	MA	Mahbubnagar	Mahbubnagar	1318110	4037.00	281
Telangana		Mancherial	Mancherial	807037	4056.36	201
Telangana	ME	Medak	Medak	767428	2740.89	275
Telangana		Medchal	Malkajgiri	2542203	5005.98	2251
Telangana	NA	Nalgonda	Nalgonda	1631399	2449.79	227
Telangana		Nagarkurnool	Nagarkurnool	893308	6545.00	124
Telangana		Nirmal	Nirmal	709415	3562.51	185
Telangana	NI	Nizamabad	Nizamabad	1534428	4153.00	366
Telangana		Peddapalli	Peddapalle	795332	4614.74	356
Telangana		Rajanna Sircilla	Sircilla	546121	2030.89	273
Telangana	RA	Ranga Reddy	Hyderabad	2551731	1038.00	486
Telangana		Sangareddy	Sangareddy	1527628	4464.87	347
Telangana		Siddipet	Siddipet	993376	3425.19	279
Telangana		Suryapet	Suryapet	1099560	3374.47	305
Telangana		Vikarabad	Vikarabad	881250	3385.00	274
Telangana		Wanaparthy	Wanaparthy	751553	2938.00	268
Telangana		Warangal		1852164	3480.00	532
Telangana	WL	Warangal (urban)	Warangal	1135707	1304.50	826
Telangana		Warangal (rural)	Warangal	716457	2175.50	330
Telangana		Yadadri Bhuvanagiri	Bhongiri	726465	3091.48	239
Tripura	DH	Dhalai	Ambassa	377988	2400	157
Tripura	GM	Gomati	Udaipur Tripura	436868	1522.8	287
Tripura	KH	Khowai	Khowai	327391	1005.67	326
Tripura	NT	North Tripura	Dharmanagar	415946	1444.5	288
Tripura	SP	Sepahijala	Bishramganj	484233	1044.78	463
Tripura	ST	South Tripura	Belonia	433737	1534.2	283
Tripura	UK	Unokoti	Kailashahar	277335	591.93	469
Tripura	WT	West Tripura	Agartala	917534	942.55	973
Uttar Pradesh	AG	Agra	Agra	4380793	4027	1084
Uttar Pradesh	AL	Aligarh	Aligarh	3673849	3747	1007
Uttar Pradesh	AH	Allahabad	Allahabad	5959798	5481	1087
Uttar Pradesh	AN	Ambedkar Nagar	Akbarpur	2398709	2372	1021
Uttar Pradesh	CS	Amethi	Gauriganj			
Uttar Pradesh	JP	Amroha	Amroha	1838771	2321	818
Uttar Pradesh	AU	Auraiya	Auraiya	1372287	2051	681
Uttar Pradesh	AZ	Azamgarh	Azamgarh	4616509	4053	1139
Uttar Pradesh	BG	Bagpat	Baghpat	1302156	1345	986
Uttar Pradesh	BH	Bahraich	Bahraich	2384239	4926	415
Uttar Pradesh	BL	Ballia	Ballia	3223642	2981	1081
Uttar Pradesh	BP	Balrampur	Balrampur	2149066	3349	642
Uttar Pradesh	BN	Banda	Banda	1799541	4413	404
Uttar Pradesh	BB	Barabanki	Barabanki	3257983	3825	739
Uttar Pradesh	BR	Bareilly	Bareilly	4465344	4120	1084
Uttar Pradesh	BS	Basti	Basti	2461056	2687	916
Uttar Pradesh	BI	Bijnor	Bijnor	3683896	4561	808
Uttar Pradesh	BD	Budaun	Budaun	3712738	5168	718
Uttar Pradesh	BU	Bulandshahr	Bulandshahr	3498507	3719	788
Uttar Pradesh	CD	Chandauli	Chandauli	1952713	2554	768
Uttar Pradesh	CT	Chitrakoot	Karwi	990626	3202	315
Uttar Pradesh	DE	Deoria	Deoria	3098637	2535	1220
Uttar Pradesh	ET	Etah	Etah	1761152	2456	717
Uttar Pradesh	EW	Etawah	Etawah	1579160	2287	683
Uttar Pradesh	FZ	Faizabad	Faizabad	2468371	2765	1054
Uttar Pradesh	FR	Farrukhabad	Fatehgarh	1887577	2279	865
Uttar Pradesh	FT	Fatehpur	Fatehpur	2632684	4152	634
Uttar Pradesh	FI	Firozabad	Firozabad	2496761	2361	1044
Uttar Pradesh	GB	Gautam Buddh Nagar	Noida	1674714	1269	1252
Uttar Pradesh	GZ	Ghaziabad	Ghaziabad	4661452	1175	3967
Uttar Pradesh	GP	Ghazipur	Ghazipur	3622727	3377	1072
Uttar Pradesh	GN	Gonda	Gonda	3431386	4425	857
Uttar Pradesh	GR	Gorakhpur	Gorakhpur	4436275	3325	1336
Uttar Pradesh	HM	Hamirpur	Hamirpur	1104021	4325	268
Uttar Pradesh	PN	Hapur	Hapur	1451983		
Uttar Pradesh	HR	Hardoi	Hardoi	4091380	5986	683
Uttar Pradesh	HT	Hathras	Hathras	1565678	1752	851
Uttar Pradesh	JL	Jalaun	Orai	1670718	4565	366
Uttar Pradesh	JU	Jaunpur	Jaunpur	4476072	4038	1108
Uttar Pradesh	JH	Jhansi	Jhansi	2000755	5024	398
Uttar Pradesh	KJ	Kannauj	Kannauj	1658005	1993	792
Uttar Pradesh	KD	Kanpur Dehat	Akbarpur (Mati)	1795092	3021	594
Uttar Pradesh	KN	Kanpur Nagar	Kanpur	4572951	3156	1415
Uttar Pradesh	KR	Kasganj	Kasganj	1438156	1955	736
Uttar Pradesh	KS	Kaushambi	Manjhanpur	1596909	1837	897
Uttar Pradesh	KU	Kushinagar	Padrauna	3560830	2909	1226
Uttar Pradesh	LK	Lakhimpur Kheri	Lakhimpur	4013634	7674	523
Uttar Pradesh	LA	Lalitpur	Lalitpur	1218002	5039	242
Uttar Pradesh	LU	Lucknow	Lucknow	4588455	2528	1815
Uttar Pradesh	MG	Maharajganj	Maharajganj	2665292	2953	903
Uttar Pradesh	MH	Mahoba	Mahoba	876055	2847	288
Uttar Pradesh	MP	Mainpuri	Mainpuri	1847194	2760	670
Uttar Pradesh	MT	Mathura	Mathura	2541894	3333	761
Uttar Pradesh	MB	Mau	Mau	2205170	1713	1287
Uttar Pradesh	ME	Meerut	Meerut	3447405	2522	1342
Uttar Pradesh	MI	Mirzapur	Mirzapur	2494533	4522	561
Uttar Pradesh	MO	Moradabad	Moradabad	4773138	3718	1284
Uttar Pradesh	MU	Muzaffarnagar	Muzaffarnagar	4138605	4008	1033
Uttar Pradesh	PI	Pilibhit	Pilibhit	2037225	3499	567
Uttar Pradesh	PR	Pratapgarh	Pratapgarh	3173752	3717	854
Uttar Pradesh	RB	Raebareli	Raebareli	3404004	4609	739
Uttar Pradesh	RA	Rampur	Rampur	2335398	2367	987
Uttar Pradesh	SA	Saharanpur	Saharanpur	3464228	3689	939
Uttar Pradesh	SM	Sambhal	Sambhal	2217020		
Uttar Pradesh	SK	Sant Kabir Nagar	Khalilabad	1714300	1442	1014
Uttar Pradesh	SR	Bhadohi	Gyanpur	1554203	960	1531
Uttar Pradesh	SJ	Shahjahanpur	Shahjahanpur	3002376	4575	673
Uttar Pradesh	SH	Shamli	Shamli			
Uttar Pradesh	SV	Shravasti	Shravasti	1114615	1948	572
Uttar Pradesh	SN	Siddharthnagar	Naugarh	2553526	2751	882
Uttar Pradesh	SI	Sitapur	Sitapur	4474446	5743	779
Uttar Pradesh	SO	Sonbhadra	Robertsganj	1862612	6788	274
Uttar Pradesh	SU	Sultanpur	Sultanpur	3790922	4436	855
Uttar Pradesh	UN	Unnao	Unnao	3110595	4561	682
Uttar Pradesh	VA	Varanasi	Varanasi	3682194	1535	2399
Uttarakhand	AL	Almora	Almora	621927	3090	198
Uttarakhand	BA	Bageshwar	Bageshwar	259840	2310	116
Uttarakhand	CL	Chamoli	Gopeshwar	391114	7692	49
Uttarakhand	CP	Champawat	Champawat	259315	1781	147
Uttarakhand	DD	Dehradun	Dehradun	1698560	3088	550
Uttarakhand	HA	Haridwar	Haridwar	1927029	2360	817
Uttarakhand	NA	Nainital	Nainital	955128	3853	225
Uttarakhand	PG	Pauri Garhwal	Pauri	686527	5438	129
Uttarakhand	PI	Pithoragarh	Pithoragarh	485993	7110	69
Uttarakhand	RP	Rudraprayag	Rudraprayag	236857	1896	119
Uttarakhand	TG	Tehri Garhwal	New Tehri	616409	4085	169
Uttarakhand	US	Udham Singh Nagar	Rudrapur	1648367	2912	648
Uttarakhand	UT	Uttarkashi	Uttarkashi	329686	7951	41
West Bengal	AD	Alipurduar	Alipurduar	1700000	3383	400
West Bengal	BN	Bankura	Bankura	3596292	6882	523
West Bengal	BR	Paschim Bardhaman	Asansol	2882031	1603	1100
West Bengal	BR	Purba Bardhaman	Bardhaman	4835532	5433	890
West Bengal	BI	Birbhum	Suri	3502387	4545	771
West Bengal	KB	Cooch Behar	Cooch Behar	2822780	3387	833
West Bengal	DD	Dakshin Dinajpur	Balurghat	1670931	2183	753
West Bengal	DA	Darjeeling	Darjeeling	1842034	3149	585
West Bengal	HG	Hooghly	Chinsurah	5520389	3149	1753
West Bengal	HR	Howrah	Howrah	4841638	1467	3300
West Bengal	JA	Jalpaiguri	Jalpaiguri	3869675	6227	621
West Bengal	JH	Jhargram	Jhargram	1136548	3038	370
West Bengal	KA	Kalimpong	Kalimpong	251642	1054	239
West Bengal	KO	Kolkata	Kolkata	4486679	185	24252
West Bengal	MA	Maldah	English Bazar	3997970	3733	1071
West Bengal	MSD	Murshidabad	Baharampur	7102430	5324	1334
West Bengal	NA	Nadia	Krishnanagar	5168488	3927	1316
West Bengal	PN	North 24 Parganas	Barasat	10082852	4094	2463
West Bengal	PM	Paschim Medinipur	Midnapore	5094238	9345	1076
West Bengal	PR	Purba Medinipur	Tamluk	4417377	4736	923
West Bengal	PU	Purulia	Purulia	2927965	6259	468
West Bengal	PS	South 24 Parganas	Alipore	8153176	9960	819
West Bengal	UD	Uttar Dinajpur	Raiganj	3000849	3180	956
